Episode 78, Reward:7.65, Noise:0.680, epsilon: 0.962, aloss:-4.996, closs: 0.104, time: 0.62
Episode 79, Reward:9.65, Noise:0.676, epsilon: 0.962, aloss:-4.976, closs: 0.102, time: 0.79
Episode 80, Reward:13.90, Noise:0.673, epsilon: 0.961, aloss:-4.889, closs: 0.108, time: 1.09
Episode 81, Reward:11.60, Noise:0.670, epsilon: 0.961, aloss:-4.806, closs: 0.109, time: 1.02
Episode 82, Reward:11.90, Noise:0.666, epsilon: 0.960, aloss:-4.895, closs: 0.100, time: 1.15
Episode 83, Reward:11.20, Noise:0.663, epsilon: 0.960, aloss:-4.946, closs: 0.099, time: 1.12
Episode 84, Reward:12.20, Noise:0.660, epsilon: 0.959, aloss:-4.976, closs: 0.105, time: 1.14
Episode 85, Reward:3.00, Noise:0.656, epsilon: 0.959, aloss:-4.806, closs: 0.108, time: 0.26
Episode 86, Reward:11.30, Noise:0.653, epsilon: 0.958, aloss:-4.893, closs: 0.096, time: 0.94
Episode 87, Reward:3.20, Noise:0.650, epsilon: 0.958, aloss:-5.014, closs: 0.076, time: 0.26
Episode 88, Reward:11.85, Noise:0.647, epsilon: 0.957, aloss:-4.983, closs: 0.110, time: 1.16
Episode 89, Reward:5.85, Noise:0.643, epsilon: 0.957, aloss:-4.953, closs: 0.095, time: 0.51
Episode 90, Reward:4.20, Noise:0.640, epsilon: 0.956, aloss:-4.763, closs: 0.135, time: 0.35
Episode 91, Reward:2.75, Noise:0.637, epsilon: 0.956, aloss:-4.723, closs: 0.072, time: 0.21
Episode 92, Reward:6.45, Noise:0.634, epsilon: 0.956, aloss:-4.873, closs: 0.106, time: 0.58
Episode 93, Reward:5.05, Noise:0.631, epsilon: 0.955, aloss:-4.901, closs: 0.090, time: 0.50
Episode 94, Reward:1.05, Noise:0.627, epsilon: 0.955, aloss:-4.865, closs: 0.135, time: 0.11
Episode 95, Reward:9.50, Noise:0.624, epsilon: 0.954, aloss:-4.738, closs: 0.106, time: 0.89
Episode 96, Reward:2.55, Noise:0.621, epsilon: 0.954, aloss:-4.780, closs: 0.099, time: 0.26
Episode 97, Reward:13.60, Noise:0.618, epsilon: 0.953, aloss:-4.734, closs: 0.106, time: 1.15
Episode 98, Reward:11.85, Noise:0.615, epsilon: 0.953, aloss:-4.665, closs: 0.102, time: 1.16
Episode 99, Reward:7.35, Noise:0.612, epsilon: 0.952, aloss:-4.836, closs: 0.095, time: 0.62
Episode 100, Reward:9.15, Noise:0.609, epsilon: 0.952, aloss:-4.792, closs: 0.105, time: 0.88
Episode 101, Reward:0.60, Noise:0.606, epsilon: 0.951, aloss:-4.700, closs: 0.139, time: 0.07
Episode 102, Reward:7.15, Noise:0.603, epsilon: 0.951, aloss:-4.677, closs: 0.102, time: 0.66
Episode 103, Reward:3.30, Noise:0.600, epsilon: 0.950, aloss:-4.646, closs: 0.112, time: 0.31
Episode 104, Reward:9.50, Noise:0.597, epsilon: 0.950, aloss:-4.671, closs: 0.101, time: 0.89
Episode 105, Reward:14.10, Noise:0.594, epsilon: 0.949, aloss:-4.844, closs: 0.094, time: 1.14
Episode 106, Reward:5.80, Noise:0.591, epsilon: 0.949, aloss:-4.788, closs: 0.101, time: 0.54
Episode 107, Reward:14.00, Noise:0.588, epsilon: 0.948, aloss:-4.774, closs: 0.110, time: 1.11
Episode 108, Reward:8.20, Noise:0.585, epsilon: 0.948, aloss:-4.643, closs: 0.111, time: 0.75
Episode 109, Reward:1.05, Noise:0.582, epsilon: 0.947, aloss:-4.573, closs: 0.105, time: 0.09
Episode 110, Reward:6.70, Noise:0.579, epsilon: 0.947, aloss:-4.538, closs: 0.105, time: 0.54
