Episode 112, Reward:11.05, Noise:0.328, epsilon: 0.946, aloss:-4.544, closs: 0.078, time: 1.11
Episode 113, Reward:2.55, Noise:0.324, epsilon: 0.946, aloss:-4.467, closs: 0.088, time: 0.24
Episode 114, Reward:6.60, Noise:0.321, epsilon: 0.945, aloss:-4.496, closs: 0.066, time: 0.69
Episode 115, Reward:9.90, Noise:0.318, epsilon: 0.945, aloss:-4.544, closs: 0.076, time: 1.11
Episode 116, Reward:11.15, Noise:0.315, epsilon: 0.944, aloss:-4.504, closs: 0.081, time: 1.10
Episode 117, Reward:8.70, Noise:0.312, epsilon: 0.944, aloss:-4.504, closs: 0.077, time: 1.10
Episode 118, Reward:0.50, Noise:0.309, epsilon: 0.943, aloss:-4.465, closs: 0.120, time: 0.06
Episode 119, Reward:11.20, Noise:0.305, epsilon: 0.943, aloss:-4.524, closs: 0.066, time: 1.11
Episode 120, Reward:3.85, Noise:0.302, epsilon: 0.942, aloss:-4.558, closs: 0.070, time: 0.35
Episode 121, Reward:8.80, Noise:0.299, epsilon: 0.942, aloss:-4.533, closs: 0.073, time: 1.03
Episode 122, Reward:0.60, Noise:0.296, epsilon: 0.941, aloss:-4.523, closs: 0.119, time: 0.07
Episode 123, Reward:10.90, Noise:0.293, epsilon: 0.941, aloss:-4.517, closs: 0.072, time: 1.11
Episode 124, Reward:10.90, Noise:0.290, epsilon: 0.940, aloss:-4.508, closs: 0.072, time: 1.10
Episode 125, Reward:10.85, Noise:0.288, epsilon: 0.940, aloss:-4.515, closs: 0.080, time: 1.11
Episode 126, Reward:11.05, Noise:0.285, epsilon: 0.939, aloss:-4.523, closs: 0.072, time: 1.11
Episode 127, Reward:0.10, Noise:0.282, epsilon: 0.939, aloss:-4.548, closs: 0.237, time: 0.01
Episode 128, Reward:11.70, Noise:0.279, epsilon: 0.938, aloss:-4.526, closs: 0.079, time: 1.14
Episode 129, Reward:11.25, Noise:0.276, epsilon: 0.938, aloss:-4.507, closs: 0.075, time: 1.17
