Episode 77, Reward:71.20, Noise:0.859, epsilon: 0.963, aloss:-152.121, closs: 47.174, time: 0.23
Episode 78, Reward:333.40, Noise:0.857, epsilon: 0.962, aloss:-151.831, closs: 62.224, time: 1.31
Episode 79, Reward:344.56, Noise:0.855, epsilon: 0.962, aloss:-152.733, closs: 58.961, time: 1.29
Episode 80, Reward:23.56, Noise:0.854, epsilon: 0.961, aloss:-152.377, closs: 27.281, time: 0.06
Episode 81, Reward:367.46, Noise:0.852, epsilon: 0.961, aloss:-153.840, closs: 60.862, time: 1.24
Episode 82, Reward:365.77, Noise:0.850, epsilon: 0.960, aloss:-153.797, closs: 57.372, time: 1.45
Episode 83, Reward:362.33, Noise:0.849, epsilon: 0.960, aloss:-151.629, closs: 59.238, time: 1.41
Episode 84, Reward:185.21, Noise:0.847, epsilon: 0.959, aloss:-152.690, closs: 53.951, time: 0.64
Episode 85, Reward:364.79, Noise:0.845, epsilon: 0.959, aloss:-153.020, closs: 68.836, time: 1.21
Episode 86, Reward:350.28, Noise:0.844, epsilon: 0.958, aloss:-152.566, closs: 54.009, time: 1.30
Episode 87, Reward:360.22, Noise:0.842, epsilon: 0.958, aloss:-154.913, closs: 58.032, time: 1.28
Episode 88, Reward:372.75, Noise:0.840, epsilon: 0.957, aloss:-155.045, closs: 62.347, time: 1.26
Episode 89, Reward:81.37, Noise:0.838, epsilon: 0.957, aloss:-154.865, closs: 65.075, time: 0.26
Episode 90, Reward:348.62, Noise:0.837, epsilon: 0.956, aloss:-154.098, closs: 60.158, time: 1.19
Episode 91, Reward:367.33, Noise:0.835, epsilon: 0.956, aloss:-151.806, closs: 65.367, time: 1.36
Episode 92, Reward:353.85, Noise:0.833, epsilon: 0.956, aloss:-151.949, closs: 58.621, time: 1.25
Episode 93, Reward:349.56, Noise:0.832, epsilon: 0.955, aloss:-151.875, closs: 60.260, time: 1.30
Episode 94, Reward:345.18, Noise:0.830, epsilon: 0.955, aloss:-152.859, closs: 58.542, time: 1.30
Episode 95, Reward:184.46, Noise:0.828, epsilon: 0.954, aloss:-151.462, closs: 53.397, time: 0.61
Episode 96, Reward:353.71, Noise:0.827, epsilon: 0.954, aloss:-153.671, closs: 53.953, time: 1.42
Episode 97, Reward:363.88, Noise:0.825, epsilon: 0.953, aloss:-153.860, closs: 58.354, time: 1.24
Episode 98, Reward:74.15, Noise:0.823, epsilon: 0.953, aloss:-152.840, closs: 69.376, time: 0.23
Episode 99, Reward:357.35, Noise:0.822, epsilon: 0.952, aloss:-152.751, closs: 59.114, time: 1.27
Episode 100, Reward:359.91, Noise:0.820, epsilon: 0.952, aloss:-152.145, closs: 56.010, time: 1.19
Episode 101, Reward:337.88, Noise:0.819, epsilon: 0.951, aloss:-152.845, closs: 54.944, time: 1.30
Episode 102, Reward:353.42, Noise:0.817, epsilon: 0.951, aloss:-154.875, closs: 52.822, time: 1.25
Episode 103, Reward:355.39, Noise:0.815, epsilon: 0.950, aloss:-154.935, closs: 47.273, time: 1.28
Episode 104, Reward:178.51, Noise:0.814, epsilon: 0.950, aloss:-155.726, closs: 55.424, time: 0.64
Episode 105, Reward:351.54, Noise:0.812, epsilon: 0.949, aloss:-154.314, closs: 56.475, time: 1.26
Episode 106, Reward:354.34, Noise:0.810, epsilon: 0.949, aloss:-152.688, closs: 64.960, time: 1.29
Episode 107, Reward:342.78, Noise:0.809, epsilon: 0.948, aloss:-152.296, closs: 49.129, time: 1.29
Episode 108, Reward:258.58, Noise:0.807, epsilon: 0.948, aloss:-152.794, closs: 54.652, time: 0.95
Episode 109, Reward:347.99, Noise:0.806, epsilon: 0.947, aloss:-152.189, closs: 59.446, time: 1.36
Episode 110, Reward:291.36, Noise:0.804, epsilon: 0.947, aloss:-150.616, closs: 62.387, time: 1.06
Episode 111, Reward:368.78, Noise:0.802, epsilon: 0.946, aloss:-150.777, closs: 60.729, time: 1.25
Episode 112, Reward:359.26, Noise:0.801, epsilon: 0.946, aloss:-152.568, closs: 45.826, time: 1.41
Episode 113, Reward:95.87, Noise:0.799, epsilon: 0.946, aloss:-153.514, closs: 47.714, time: 0.32
Episode 114, Reward:360.49, Noise:0.798, epsilon: 0.945, aloss:-151.575, closs: 60.678, time: 1.31
Episode 115, Reward:327.58, Noise:0.796, epsilon: 0.945, aloss:-152.859, closs: 53.680, time: 1.12
Episode 116, Reward:97.90, Noise:0.794, epsilon: 0.944, aloss:-151.656, closs: 73.350, time: 0.36
Episode 117, Reward:82.41, Noise:0.793, epsilon: 0.944, aloss:-151.161, closs: 40.971, time: 0.31
Episode 118, Reward:30.51, Noise:0.791, epsilon: 0.943, aloss:-152.070, closs: 43.839, time: 0.07
Episode 119, Reward:351.39, Noise:0.790, epsilon: 0.943, aloss:-150.526, closs: 63.953, time: 1.32
Episode 120, Reward:339.97, Noise:0.788, epsilon: 0.942, aloss:-150.645, closs: 59.390, time: 1.26
Episode 121, Reward:123.56, Noise:0.786, epsilon: 0.942, aloss:-150.440, closs: 58.446, time: 0.43
Episode 122, Reward:343.01, Noise:0.785, epsilon: 0.941, aloss:-150.619, closs: 55.410, time: 1.29
Episode 123, Reward:181.14, Noise:0.783, epsilon: 0.941, aloss:-149.280, closs: 72.202, time: 0.59
Episode 124, Reward:20.99, Noise:0.782, epsilon: 0.940, aloss:-148.704, closs: 98.162, time: 0.06
Episode 125, Reward:336.52, Noise:0.780, epsilon: 0.940, aloss:-146.823, closs: 68.741, time: 1.35
