Episode 79, Reward:4.95, Noise:0.676, epsilon: 0.962, aloss:-4.919, closs: 0.083, time: 0.42
Episode 80, Reward:5.40, Noise:0.673, epsilon: 0.961, aloss:-4.986, closs: 0.090, time: 0.45
Episode 81, Reward:13.55, Noise:0.670, epsilon: 0.961, aloss:-4.852, closs: 0.087, time: 1.13
Episode 82, Reward:10.90, Noise:0.666, epsilon: 0.960, aloss:-4.922, closs: 0.082, time: 0.91
Episode 83, Reward:0.65, Noise:0.663, epsilon: 0.960, aloss:-5.011, closs: 0.098, time: 0.06
Episode 84, Reward:0.50, Noise:0.660, epsilon: 0.959, aloss:-4.980, closs: 0.087, time: 0.06
Episode 85, Reward:12.50, Noise:0.656, epsilon: 0.959, aloss:-4.865, closs: 0.090, time: 1.16
Episode 86, Reward:12.15, Noise:0.653, epsilon: 0.958, aloss:-4.902, closs: 0.085, time: 1.12
Episode 87, Reward:4.70, Noise:0.650, epsilon: 0.958, aloss:-4.997, closs: 0.081, time: 0.43
Episode 88, Reward:4.50, Noise:0.647, epsilon: 0.957, aloss:-4.973, closs: 0.086, time: 0.35
Episode 89, Reward:11.95, Noise:0.643, epsilon: 0.957, aloss:-4.916, closs: 0.088, time: 1.15
Episode 90, Reward:12.50, Noise:0.640, epsilon: 0.956, aloss:-4.858, closs: 0.089, time: 1.12
Episode 91, Reward:12.50, Noise:0.637, epsilon: 0.956, aloss:-4.828, closs: 0.086, time: 1.12
Episode 92, Reward:8.40, Noise:0.634, epsilon: 0.956, aloss:-4.834, closs: 0.083, time: 0.72
Episode 93, Reward:12.95, Noise:0.631, epsilon: 0.955, aloss:-4.884, closs: 0.084, time: 1.13
Episode 94, Reward:11.05, Noise:0.627, epsilon: 0.955, aloss:-4.824, closs: 0.093, time: 0.96
Episode 95, Reward:13.15, Noise:0.624, epsilon: 0.954, aloss:-4.840, closs: 0.083, time: 1.14
Episode 96, Reward:12.40, Noise:0.621, epsilon: 0.954, aloss:-4.968, closs: 0.079, time: 1.12
Episode 97, Reward:8.95, Noise:0.618, epsilon: 0.953, aloss:-5.003, closs: 0.089, time: 0.70
Episode 98, Reward:2.85, Noise:0.615, epsilon: 0.953, aloss:-4.933, closs: 0.076, time: 0.25
Episode 99, Reward:12.90, Noise:0.612, epsilon: 0.952, aloss:-4.937, closs: 0.081, time: 1.14
Episode 100, Reward:10.65, Noise:0.609, epsilon: 0.952, aloss:-4.925, closs: 0.092, time: 0.92
Episode 101, Reward:12.25, Noise:0.606, epsilon: 0.951, aloss:-4.927, closs: 0.083, time: 1.14
Episode 102, Reward:12.25, Noise:0.603, epsilon: 0.951, aloss:-5.005, closs: 0.081, time: 1.13
Episode 103, Reward:3.60, Noise:0.600, epsilon: 0.950, aloss:-4.937, closs: 0.092, time: 0.39
Episode 104, Reward:14.80, Noise:0.597, epsilon: 0.950, aloss:-4.895, closs: 0.085, time: 1.14
Episode 105, Reward:9.40, Noise:0.594, epsilon: 0.949, aloss:-4.905, closs: 0.087, time: 0.83
Episode 106, Reward:5.15, Noise:0.591, epsilon: 0.949, aloss:-4.897, closs: 0.083, time: 0.44
Episode 107, Reward:4.90, Noise:0.588, epsilon: 0.948, aloss:-4.910, closs: 0.090, time: 0.44
Episode 108, Reward:4.20, Noise:0.585, epsilon: 0.948, aloss:-4.865, closs: 0.093, time: 0.40
Episode 109, Reward:11.55, Noise:0.582, epsilon: 0.947, aloss:-4.803, closs: 0.091, time: 1.12
Episode 110, Reward:12.05, Noise:0.579, epsilon: 0.947, aloss:-4.822, closs: 0.083, time: 1.13
Episode 111, Reward:3.15, Noise:0.576, epsilon: 0.946, aloss:-4.828, closs: 0.103, time: 0.31
Episode 112, Reward:0.85, Noise:0.573, epsilon: 0.946, aloss:-4.805, closs: 0.058, time: 0.07
Episode 113, Reward:12.65, Noise:0.570, epsilon: 0.946, aloss:-4.921, closs: 0.079, time: 1.17
Episode 114, Reward:3.60, Noise:0.568, epsilon: 0.945, aloss:-5.013, closs: 0.083, time: 0.31
Episode 115, Reward:12.45, Noise:0.565, epsilon: 0.945, aloss:-4.864, closs: 0.092, time: 1.14
Episode 116, Reward:3.85, Noise:0.562, epsilon: 0.944, aloss:-4.875, closs: 0.083, time: 0.38
Episode 117, Reward:12.80, Noise:0.559, epsilon: 0.944, aloss:-4.898, closs: 0.086, time: 1.14
Episode 118, Reward:12.45, Noise:0.556, epsilon: 0.943, aloss:-4.811, closs: 0.092, time: 1.13
Episode 119, Reward:0.50, Noise:0.554, epsilon: 0.943, aloss:-4.825, closs: 0.067, time: 0.05
Episode 120, Reward:6.25, Noise:0.551, epsilon: 0.942, aloss:-4.855, closs: 0.087, time: 0.46
Episode 121, Reward:12.25, Noise:0.548, epsilon: 0.942, aloss:-4.896, closs: 0.083, time: 1.13
Episode 122, Reward:6.80, Noise:0.545, epsilon: 0.941, aloss:-4.904, closs: 0.086, time: 0.65
Episode 123, Reward:12.00, Noise:0.543, epsilon: 0.941, aloss:-4.826, closs: 0.091, time: 1.12
Episode 124, Reward:13.40, Noise:0.540, epsilon: 0.940, aloss:-4.917, closs: 0.080, time: 1.13
Episode 125, Reward:5.70, Noise:0.537, epsilon: 0.940, aloss:-4.859, closs: 0.095, time: 0.48
Episode 126, Reward:13.25, Noise:0.534, epsilon: 0.939, aloss:-4.767, closs: 0.086, time: 1.13
Episode 127, Reward:12.20, Noise:0.532, epsilon: 0.939, aloss:-4.826, closs: 0.089, time: 1.14
Episode 128, Reward:13.30, Noise:0.529, epsilon: 0.938, aloss:-4.834, closs: 0.091, time: 1.13
Episode 129, Reward:7.75, Noise:0.526, epsilon: 0.938, aloss:-4.875, closs: 0.080, time: 0.71
Episode 130, Reward:0.90, Noise:0.524, epsilon: 0.938, aloss:-4.924, closs: 0.082, time: 0.07
Episode 131, Reward:11.80, Noise:0.521, epsilon: 0.937, aloss:-4.863, closs: 0.088, time: 1.13
Episode 132, Reward:12.00, Noise:0.519, epsilon: 0.937, aloss:-5.051, closs: 0.071, time: 1.13
Episode 133, Reward:12.85, Noise:0.516, epsilon: 0.936, aloss:-4.941, closs: 0.093, time: 1.15
Episode 134, Reward:13.95, Noise:0.513, epsilon: 0.936, aloss:-4.768, closs: 0.091, time: 1.14
Episode 135, Reward:13.60, Noise:0.511, epsilon: 0.935, aloss:-4.750, closs: 0.089, time: 1.15
Episode 136, Reward:10.85, Noise:0.508, epsilon: 0.935, aloss:-4.783, closs: 0.085, time: 0.84
Episode 137, Reward:11.60, Noise:0.506, epsilon: 0.934, aloss:-4.895, closs: 0.085, time: 1.14
Episode 138, Reward:12.20, Noise:0.503, epsilon: 0.934, aloss:-4.942, closs: 0.085, time: 1.16
Episode 139, Reward:1.25, Noise:0.501, epsilon: 0.933, aloss:-4.916, closs: 0.080, time: 0.13
Episode 140, Reward:12.15, Noise:0.498, epsilon: 0.933, aloss:-4.963, closs: 0.083, time: 1.26
Episode 141, Reward:12.50, Noise:0.496, epsilon: 0.932, aloss:-4.965, closs: 0.079, time: 1.15
Episode 142, Reward:12.25, Noise:0.493, epsilon: 0.932, aloss:-4.955, closs: 0.088, time: 1.16
Episode 143, Reward:12.80, Noise:0.491, epsilon: 0.931, aloss:-4.958, closs: 0.082, time: 1.15
Episode 144, Reward:12.50, Noise:0.488, epsilon: 0.931, aloss:-4.945, closs: 0.081, time: 1.14
Episode 145, Reward:12.55, Noise:0.486, epsilon: 0.931, aloss:-4.953, closs: 0.082, time: 1.15
Episode 146, Reward:10.55, Noise:0.483, epsilon: 0.930, aloss:-4.950, closs: 0.086, time: 0.96
Episode 147, Reward:10.30, Noise:0.481, epsilon: 0.930, aloss:-4.924, closs: 0.085, time: 1.00
Episode 148, Reward:9.40, Noise:0.479, epsilon: 0.929, aloss:-4.944, closs: 0.079, time: 0.93
Episode 149, Reward:10.80, Noise:0.476, epsilon: 0.929, aloss:-5.037, closs: 0.083, time: 0.91
Episode 150, Reward:6.90, Noise:0.474, epsilon: 0.928, aloss:-4.880, closs: 0.098, time: 0.66
Episode 151, Reward:6.50, Noise:0.471, epsilon: 0.928, aloss:-4.793, closs: 0.087, time: 0.62
Episode 152, Reward:11.70, Noise:0.469, epsilon: 0.927, aloss:-4.919, closs: 0.080, time: 1.14
Episode 153, Reward:1.35, Noise:0.467, epsilon: 0.927, aloss:-4.889, closs: 0.083, time: 0.11
Episode 154, Reward:11.75, Noise:0.464, epsilon: 0.926, aloss:-4.795, closs: 0.097, time: 1.16
Episode 155, Reward:11.35, Noise:0.462, epsilon: 0.926, aloss:-4.753, closs: 0.080, time: 1.14
Episode 156, Reward:11.65, Noise:0.460, epsilon: 0.925, aloss:-4.820, closs: 0.091, time: 1.16
Episode 157, Reward:2.45, Noise:0.458, epsilon: 0.925, aloss:-4.767, closs: 0.078, time: 0.22
Episode 158, Reward:10.95, Noise:0.455, epsilon: 0.924, aloss:-4.788, closs: 0.080, time: 1.16
Episode 159, Reward:5.60, Noise:0.453, epsilon: 0.924, aloss:-4.875, closs: 0.088, time: 0.50
Episode 160, Reward:11.80, Noise:0.451, epsilon: 0.924, aloss:-4.847, closs: 0.084, time: 1.14
Episode 161, Reward:11.65, Noise:0.448, epsilon: 0.923, aloss:-4.846, closs: 0.093, time: 1.15
Episode 162, Reward:7.10, Noise:0.446, epsilon: 0.923, aloss:-4.784, closs: 0.080, time: 0.75
Episode 163, Reward:6.00, Noise:0.444, epsilon: 0.922, aloss:-4.868, closs: 0.079, time: 0.61
