Episode 85, Reward:9.05, Noise:0.656, epsilon: 0.959, aloss:-2.774, closs: 0.063, time: 1.13
Episode 86, Reward:9.35, Noise:0.653, epsilon: 0.958, aloss:-2.920, closs: 0.064, time: 1.13
Episode 87, Reward:9.45, Noise:0.650, epsilon: 0.958, aloss:-2.783, closs: 0.065, time: 1.12
Episode 88, Reward:9.10, Noise:0.647, epsilon: 0.957, aloss:-2.885, closs: 0.061, time: 1.13
Episode 89, Reward:10.25, Noise:0.643, epsilon: 0.957, aloss:-2.881, closs: 0.060, time: 1.17
Episode 90, Reward:9.80, Noise:0.640, epsilon: 0.956, aloss:-2.977, closs: 0.064, time: 1.13
Episode 91, Reward:6.95, Noise:0.637, epsilon: 0.956, aloss:-3.010, closs: 0.069, time: 0.72
Episode 92, Reward:10.00, Noise:0.634, epsilon: 0.956, aloss:-3.034, closs: 0.065, time: 1.12
Episode 93, Reward:9.25, Noise:0.631, epsilon: 0.955, aloss:-3.046, closs: 0.066, time: 1.12
Episode 94, Reward:9.65, Noise:0.627, epsilon: 0.955, aloss:-2.993, closs: 0.059, time: 1.12
Episode 95, Reward:6.50, Noise:0.624, epsilon: 0.954, aloss:-3.047, closs: 0.070, time: 0.95
Episode 96, Reward:10.20, Noise:0.621, epsilon: 0.954, aloss:-2.964, closs: 0.063, time: 1.13
Episode 97, Reward:0.45, Noise:0.618, epsilon: 0.953, aloss:-2.980, closs: 0.064, time: 0.06
Episode 98, Reward:7.85, Noise:0.615, epsilon: 0.953, aloss:-3.040, closs: 0.059, time: 0.83
Episode 99, Reward:10.30, Noise:0.612, epsilon: 0.952, aloss:-3.047, closs: 0.067, time: 1.14
Episode 100, Reward:9.55, Noise:0.609, epsilon: 0.952, aloss:-2.974, closs: 0.064, time: 1.13
Episode 101, Reward:2.80, Noise:0.606, epsilon: 0.951, aloss:-3.022, closs: 0.055, time: 0.32
Episode 102, Reward:0.95, Noise:0.603, epsilon: 0.951, aloss:-3.105, closs: 0.058, time: 0.15
Episode 103, Reward:0.65, Noise:0.600, epsilon: 0.950, aloss:-3.132, closs: 0.052, time: 0.07
Episode 104, Reward:0.50, Noise:0.597, epsilon: 0.950, aloss:-3.154, closs: 0.053, time: 0.06
Episode 105, Reward:9.60, Noise:0.594, epsilon: 0.949, aloss:-3.158, closs: 0.064, time: 1.18
Episode 106, Reward:9.80, Noise:0.591, epsilon: 0.949, aloss:-3.055, closs: 0.063, time: 1.12
Episode 107, Reward:9.80, Noise:0.588, epsilon: 0.948, aloss:-3.083, closs: 0.064, time: 1.12
Episode 108, Reward:6.45, Noise:0.585, epsilon: 0.948, aloss:-2.936, closs: 0.063, time: 0.80
Episode 109, Reward:10.70, Noise:0.582, epsilon: 0.947, aloss:-3.077, closs: 0.058, time: 1.14
Episode 110, Reward:0.65, Noise:0.579, epsilon: 0.947, aloss:-3.029, closs: 0.054, time: 0.05
Episode 111, Reward:4.50, Noise:0.576, epsilon: 0.946, aloss:-3.096, closs: 0.056, time: 0.59
Episode 112, Reward:0.70, Noise:0.573, epsilon: 0.946, aloss:-3.150, closs: 0.047, time: 0.07
Episode 113, Reward:9.60, Noise:0.570, epsilon: 0.946, aloss:-3.100, closs: 0.059, time: 1.13
Episode 114, Reward:0.80, Noise:0.568, epsilon: 0.945, aloss:-3.031, closs: 0.071, time: 0.07
Episode 115, Reward:4.00, Noise:0.565, epsilon: 0.945, aloss:-2.979, closs: 0.060, time: 0.46
Episode 116, Reward:2.20, Noise:0.562, epsilon: 0.944, aloss:-2.965, closs: 0.063, time: 0.30
Episode 117, Reward:6.10, Noise:0.559, epsilon: 0.944, aloss:-2.949, closs: 0.060, time: 0.75
Episode 118, Reward:9.00, Noise:0.556, epsilon: 0.943, aloss:-2.966, closs: 0.059, time: 1.14
Episode 119, Reward:9.95, Noise:0.554, epsilon: 0.943, aloss:-2.924, closs: 0.060, time: 1.16
Episode 120, Reward:5.85, Noise:0.551, epsilon: 0.942, aloss:-2.916, closs: 0.060, time: 0.72
Episode 121, Reward:4.70, Noise:0.548, epsilon: 0.942, aloss:-3.019, closs: 0.052, time: 0.59
Episode 122, Reward:9.20, Noise:0.545, epsilon: 0.941, aloss:-3.048, closs: 0.058, time: 1.14
